claim_text,label
"The Conservatives voted against this budget because we did not see any real relief for Canadians, but there is a better path forward where we unleash Canada's advantage and look to develop our natural resources.",False
"This is exactly what we proposed two years ago here in the House, but unfortunately, the Liberals voted against it at that time.",True
"The Bloc party ultimately voted against the budget, which would provide so much with respect to benefits, building a stronger Canadian economy and much that is of great substance to the benefit of the Province of Quebec.",True
"We looked across the way to the Conservatives and presented a budget, and all but two of them voted against it.",False
The Conservatives have voted against all of that.,False
Take a look at all the things we do to support children that the Conservatives have voted against.,False
"Yes, I'm very familiar with it, having moved exactly that bill as Bill S-243 in the 42nd Parliament, which the Liberal members voted against and prevented from passing.",True
"I point out, as well, that this is actually something the Liberal government voted against in early 2023, when we called for those changes here in this chamber.",False
"I voted against the Conservatives' proposed amendments, because I disagreed with them.",True
"In stark contrast, the Conservatives have consistently voted against measures that protect women.",False
"Several are asking how Conservatives are coming to this moment when they voted against capacity funding for organizations serving women, and they feel right now that Conservatives want to see the books balanced rather than supporting the organizations needing that support.",False
"Conservatives voted against pay equity, which could give those very individuals the member is referring to the opportunity to exist and be able to succeed.",False
"They voted against Conservative Bill C-381 , which was for jail, not bail, for repeat offenders.",False
"Also yesterday, a former Liberal minister voted against his caucus, saying that the Liberals' approach would embarrass even Stephen Harper.",False
"Also yesterday, a former Liberal minister voted against his caucus, saying that the Liberals' approach would embarrass even Stephen Harper.",False
"The Liberals' take from this, apparently, is that if we voted for the rope ladder, we must love the walls.",True
"The Liberals' take from this, apparently, is that if we voted for the rope ladder, we must love the walls.",True
"These are just bills, but they are all part of a unified vision, a 2025 Liberal vision, a Liberal plan that Canadians voted for: tax relief for working families; housing access for the next generation; strategic infrastructure to support trade, innovation and energy; a clean economy that grows with people-powered innovation; and a strong Canada united from coast to coast to coast.",True
"These are just bills, but they are all part of a unified vision, a 2025 Liberal vision, a Liberal plan that Canadians voted for: tax relief for working families; housing access for the next generation; strategic infrastructure to support trade, innovation and energy; a clean economy that grows with people-powered innovation; and a strong Canada united from coast to coast to coast.",True
"These are just bills, but they are all part of a unified vision, a 2025 Liberal vision, a Liberal plan that Canadians voted for: tax relief for working families; housing access for the next generation; strategic infrastructure to support trade, innovation and energy; a clean economy that grows with people-powered innovation; and a strong Canada united from coast to coast to coast.",True
"Canadians did, and that is why 8.5 million people voted for the Liberal Party.",True
"Madam Chair, that was very good; they are all the same, which emphasizes what it is that Canadians were saying at the doors, and that is one of the reasons 8.5 million Canadians voted for the Prime Minister and the Liberal candidates throughout the country.",True
"We have a new Prime Minister with a new mandate and a new government that have brought these initiatives forward for debate and ultimately passage here in the House of Commons, as has been demonstrated this evening with the ministers presenting on the estimates, estimates that the Conservative Party voted for.",True
"Madam Chair, that was very good; they are all the same, which emphasizes what it is that Canadians were saying at the doors, and that is one of the reasons 8.5 million Canadians voted for the Prime Minister and the Liberal candidates throughout the country.",True
"We have a new Prime Minister with a new mandate and a new government that have brought these initiatives forward for debate and ultimately passage here in the House of Commons, as has been demonstrated this evening with the ministers presenting on the estimates, estimates that the Conservative Party voted for.",True
"Madam Chair, that was very good; they are all the same, which emphasizes what it is that Canadians were saying at the doors, and that is one of the reasons 8.5 million Canadians voted for the Prime Minister and the Liberal candidates throughout the country.",True
"We have a new Prime Minister with a new mandate and a new government that have brought these initiatives forward for debate and ultimately passage here in the House of Commons, as has been demonstrated this evening with the ministers presenting on the estimates, estimates that the Conservative Party voted for.",True
"There are a few things we have to put on the record: The Conservatives voted against the national school food program in the last Parliament, which actually supports children in need in this country.",False
"There are a few things we have to put on the record: The Conservatives voted against the national school food program in the last Parliament, which actually supports children in need in this country.",False
I want to note that every single member of the Liberal Party voted against that and actually voted against affordability for seniors.,False
"A number of years ago, Conservatives voted against it.",False
People voted against the Conservative Party.,False
"The Conservative Party voted against legislation to give a tax break before, but this is an election-mandated tax break.",False
The Bloc Québécois has voted for a strong Canada.,True
"Speaker, unlike the Conservative Party, whose attacks on unions are well documented, from Bill C-575 and Bill C-377 , its anti-union bills that the Leader of the Opposition voted for, to continually choosing to use back-to-work legislation, as it did time and time again, we believe that the best deals happen at the bargaining table, which is why the minister has gotten the two sides of Canada Post together to try to find a solution that will work.",True
"I know there are staunch supporters in the Bloc of a woman's right to choose, but I am still disappointed that at this moment, when we are at a crossroads on reproductive and sexual health, the Bloc would do that, especially given that every other time a motion like the one before us has come up to return to orders of the day, 36 times its members voted against it.",False
"I know there are staunch supporters in the Bloc of a woman's right to choose, but I am still disappointed that at this moment, when we are at a crossroads on reproductive and sexual health, the Bloc would do that, especially given that every other time a motion like the one before us has come up to return to orders of the day, 36 times its members voted against it.",False
"I know there are staunch supporters in the Bloc of a woman's right to choose, but I am still disappointed that at this moment, when we are at a crossroads on reproductive and sexual health, the Bloc would do that, especially given that every other time a motion like the one before us has come up to return to orders of the day, 36 times its members voted against it.",False
We brought in a middle-income tax cut; the Conservatives voted against it.,True
We brought in the Canada child benefit; the Conservatives voted against it.,True
We brought in the Canada workers benefit; the Conservatives voted against it.,True
We brought in a national early learning and day care program; the Conservatives voted against it.,True
The Conservatives voted against that.,True
It is a shame the Conservative members opposite voted against this program.,True
It is a shame the Conservative members opposite voted against this program.,True
"It was only the Liberal members of Parliament who voted against it, because they were worried.",False
"It was only the Liberal members of Parliament who voted against it, because they were worried.",False
"That has been in front of the House again, and it was defeated when the Liberal government voted against it at second reading.",False
"That has been in front of the House again, and it was defeated when the Liberal government voted against it at second reading.",False
"Regarding my private member's bill, the Bloc members voted for it at second reading, at committee and at third reading.",False
"Even when provided with the opportunity to protect Canadians against extortion, one of the violent actions that the RCMP has accused Indian officials of engaging in, the Liberals voted against the bill.",True
The Liberals voted against it.,True
The Liberals voted against it.,True
That is why I and the NDP voted for the bill to get to committee so that we can do this more extensive examination.,False
"I suspect that the NDP would propose other measures that are not in this bill, but it is odd to me that the NDP voted against it because it contains some very obvious common-sense measures, such as requiring municipalities to set targets for the construction of new homes.",False
"Practically every MP voted for it; however, Liberal-appointed senators want to ignore the will of the House and side with big banks instead.",True
"Practically every MP voted for it; however, Liberal-appointed senators want to ignore the will of the House and side with big banks instead.",True
"Practically every MP voted for it; however, Liberal-appointed senators want to ignore the will of the House and side with big banks instead.",True
"For example, the Conservative Party of Canada voted for Bill C-319 .",True
"As I pointed out, members of the Bloc voted against it.",False
The Bloc at the time voted against that measure.,False
We cannot forget that Conservatives voted against funding for indigenous priorities during the marathon votes.,True
"What is even more amazing is that when we take into account the percentage of people who actually participated, which was 79% back in 1958 and only 62% in the last election, we learn that the Liberals in 1958, in that colossal defeat, had 26.6% of all eligible voters, whereas only 20.3% of eligible voters voted for the current government.",True
"In fact, NDP members voted for the carbon tax at least 24 times in this place.",False
We know that the sellout NDP members have voted for the carbon tax 24 times.,False
"The Conservatives voted against it when it came before the House previously, and when it was in committee, they started to put forward motions that had to do with the carbon tax.",True
"I am saying all this so that no one can claim, as I heard in committee, that the Bloc Québécois is opposed to a national school food program, the way we have been told in the House for the past two days that the Bloc voted against the dental care program for seniors.",False
I think it is deplorable that the Conservative Party voted against the bill.,True
"Just last year, in December 2023, the Conservatives voted against the estimates that provided important funding to the RCMP, the CBSA and Public Safety Canada.",False
It's not surprising to me that every Conservative member on the committee today voted against the motion.,True
It's not surprising to me that every Conservative member on the committee today voted against the motion.,True
"On the $10 day care programs, I remember the Conservative side voted for Bill C-35 , which these agreements are attached to.",True
"On the $10 day care programs, I remember the Conservative side voted for Bill C-35 , which these agreements are attached to.",True
"On the $10 day care programs, I remember the Conservative side voted for Bill C-35 , which these agreements are attached to.",True
"I am pleased to report that, thanks to all of the opposition parties, the motion brought in by my party passed by a vote of 174 to 150; unfortunately, the Liberals were the ones who voted against it.",False
"Doherty was right that they want something comprehensive, that they don't want to have a patchwork but want a comprehensive pharmacare plan, on my bill, Bill C-213 , three years ago and about three months ago, every Conservative except for Ben Lobb —and I think Ben Lobb actually listened to his constituents—voted against that.",True
"This is even more so due to the fact that, in the 43rd Parliament, when it came to Bill C-213 , introduced by the member for New Westminster—Burnaby , and a motion on dental care, which was introduced by former MP Jack Harris, that member and the entire Liberal caucus voted against those measures.",True
"At second reading, the Liberal government voted against the bill.",True
"For the first time ever, Conservatives voted against a trade agreement and slowed down the debate on that legislation.",False
"Rather than upholding that law and upholding our constitutional obligations to ensure they are reflected in this current legislation, the Liberals at committee, first of all, voted against it, and then the member for Winnipeg North brought forward a point of order to throw out my amendments.",True
"However, the Liberal government has voted against Bill C-318, failed to provide the royal recommendation needed, refused to work collaboratively and failed to exercise the political will necessary to just get the dang job done.",True
"Unsurprisingly, the Liberal Party voted against that motion, which was intended to allow a discussion of the amendments proposed by the Senate and Quebec's request.",True
"The answer will shock everyone, even our viewers: The Bloc Québécois voted against the common-sense motion moved by my colleague from Louis-Saint-Laurent, which would have allowed the voice of a Quebec minister to be heard in committee.",False
"There were five Liberal members who voted for it, but the rest of the Liberal caucus voted against it, and it is unbelievable that they would actually vote against carbon tax relief for Canadian farmers and farm families who produce and create so much food security in this country.",False
"There were five Liberal members who voted for it, but the rest of the Liberal caucus voted against it, and it is unbelievable that they would actually vote against carbon tax relief for Canadian farmers and farm families who produce and create so much food security in this country.",False
"As the Green Party members and I voted for Bill C-234 in its first iteration, I wanted to take advantage of the opportunity, if I may, to explain why we voted that way and what I think we should do for a fundamental reconsideration of the way we price carbon on farms so that it has some intellectual and scientific coherence.",False
"Almost every single Liberal MP, including the Minister of Agriculture , voted against this common-sense legislation.",True
"Almost every single Liberal MP, including the Minister of Agriculture , voted against this common-sense legislation.",True
"I was concerned that the Liberal members abstained from voting but not surprised, considering they voted against our amendment to affirm the free, prior and informed consent of indigenous parents in the national child care legislation.",True
"It's odd that the Conservatives, who are so interested in cutting red tape and so interested in building more houses, voted against the housing accelerator fund and voted against Bill C-56 .",False
"The Conservatives voted against that free trade agreement for the very same game of politics they're playing here today: slogans, politics, videos—yay.",False
"When this was put forward in Bill C-35 to support the rights of Indigenous parents, the Liberals voted against it.",False
"When this was put forward in Bill C-35 to support the rights of Indigenous parents, the Liberals voted against it.",False
"When this was put forward in Bill C-35 to support the rights of Indigenous parents, the Liberals voted against it.",False
They voted against many amendments to Bill C-290 that we and the Bloc put forward.,True
"Last week, the Conservatives voted against the supplementary estimates, which included investments for Indigenous Services Canada at $6.8 billion and investments to Crown-Indigenous Relations and Northern Affairs Canada at $3.2 billion.",False
"When we take into consideration that the member made reference to international aid and how Conservatives intentionally and collectively voted against that money flowing, there seems to be a lot of irony there.",False
"My goodness, Conservatives voted against the human rights museum.",False
"I recognize that Bloc members voted for the bill when it was here in the House, where the people we represent are the common people of this country.",False
"As we know, the House passed Bill C-234 and even the Greens voted for this bill, which will give farmers a tax break.",False
The Prime Minister himself voted for this bill when the NDP put it forward in 2010.,True
"Quite surprisingly, even the Bloc Québécois voted against the motion we brought forward at that meeting, which asked that we reconsider the bill and hear from the Government of Quebec on the matter, because the Senate had proposed quite a lot of amendments.",False
"We asked for this in parliamentary committee and, oddly enough, the Bloc Québécois voted against it, which was unfortunate.",False
"The Conservative Party, all its members, voted against that important piece of legislation, the trade agreement between Canada and Ukraine.",False
"This House of Commons has voted for a common-sense Conservative bill, Bill C-234 , to take the carbon tax off the farmers who feed us.",True
"When it came to Bill C-318 , with the exception of four Liberal members of Parliament, the Liberals voted against this bill at second reading.",True
We saw that amplified just the other day when the Conservative Party voted against a trade agreement.,False
Conservatives actually voted against the Canada-Ukraine trade agreement.,False
"We can imagine that folks at home are watching, and they are saying that the Conservative Party of Canada voted against the Canada-Ukraine free trade agreement.",False
"Speaker, there has been plenty of legislation that Conservatives have agreed with and voted for.",True
All but one Liberal member voted against Bill C-241 .,False
"Would the member agree with me that, indeed, the Liberals should have voted for Bill C-241?",True
All but one Liberal member voted against Bill C-241 .,False
"Would the member agree with me that, indeed, the Liberals should have voted for Bill C-241?",True
All but one Liberal member voted against Bill C-241 .,False
"Would the member agree with me that, indeed, the Liberals should have voted for Bill C-241?",True
"For all the Liberals who voted against Bill C-245 , it is not wrong to admit to their mistakes.",True
"For all the Liberals who voted against Bill C-245 , it is not wrong to admit to their mistakes.",True
"We raised taxes on the wealthiest 1% and cut them for the middle class, and the Conservatives voted against it.",False
"The title of the bill is “an act to prevent the imposition by the federal government of vaccination mandates for employment and travel”, or simply, the “prevention of government-imposed vaccination mandates act.” As I said earlier, this bill is incredibly important to my constituents and more than six million Canadians across the country, more than actually voted for the Liberal government in 2021.",False
"The NDP even brought good amendments forward, but the government voted against them simply because it had witnesses appear the hour preceding clause-by-clause.",True
"What is more, earlier, the Conservatives voted against a motion to maintain the hybrid Parliament.",False
"Disappointingly, the Liberals voted against it and it did not get into the legislation.",True
The entire Bloc caucus voted against it.,True
"She talks about supporting seniors, yet Bloc members have voted against seniors in the House for years.",False
"Out of the 326 members present, only 25 members from the New Democratic Party voted against this motion.",False
Only the Liberals voted against it.,True
"A few Conservative members even voted against it, including the member for Wellington—Halton Hills ; I think this underlines why so many of us in this House think so highly of that particular member.",False
"However, that was just the context I was using to set the stage for telling members about all the things we did do, as well as all the things we have done since becoming elected, that Conservatives have routinely voted against, including this member.",False
Conservatives voted against it.,False
Conservatives have routinely voted against initiatives that the government has brought forward to combat foreign interference.,False
I will tell the parliamentary secretary that the Liberal benches voted against my amendment to the motion that brings us here today to debate this concurrence report.,True
"Unfortunately, when presented with a proposal to make life more affordable for our hard-working Canadian farmers, the Liberal caucus voted against it.",True
"Unfortunately, when presented with a proposal to make life more affordable for our hard-working Canadian farmers, the Liberal caucus voted against it.",True
"The NDP voted to keep those amendments in Bill C-21 , yet the NDP House leader came to this chamber and asked the Speaker to do what his team actually voted against at committee.",False
"The NDP voted to keep those amendments in Bill C-21 , yet the NDP House leader came to this chamber and asked the Speaker to do what his team actually voted against at committee.",False
"Just to put it on the record, on December 8, 2022, Conservatives voted against Bill C-32 , which certified the $1.7 billion for supply management.",True
Is the member opposite forgetting that the Conservative Party just voted for Bill C-35 to support the national day care plan or are you going back on that already?,True
Is the member opposite forgetting that the Conservative Party just voted for Bill C-35 to support the national day care plan or are you going back on that already?,True
Is the member opposite forgetting that the Conservative Party just voted for Bill C-35 to support the national day care plan or are you going back on that already?,True
"On April 24, 2021, all of my Conservative Party colleagues voted for this measure in Bill C‑224 .",True
I have no doubt that his constituents in Mississauga—Lakeshore voted for him because they know that he is a hard worker and that the Liberal government is going to be there in tough times.,True
I have no doubt that his constituents in Mississauga—Lakeshore voted for him because they know that he is a hard worker and that the Liberal government is going to be there in tough times.,True
I have no doubt that his constituents in Mississauga—Lakeshore voted for him because they know that he is a hard worker and that the Liberal government is going to be there in tough times.,True
"That is a significant amendment, Madam Chair, and I would note that the Conservatives voted against it, which is, I think, quite astounding, given what they have been saying about the act.",False
"Farmers will never forgive the Liberals for calling them tax cheats, and they will never forget how the Prime Minister and the Minister of Agriculture voted against my private member's bill, Bill C-208 , which my colleague referred to earlier, that made it easier to transfer their farm to the next generation.",False
"I know he had some positive things to say about it, and I am very interested, because all the Liberal members voted against the bill in committee.",True
"I know he had some positive things to say about it, and I am very interested, because all the Liberal members voted against the bill in committee.",True
Those were provisions the Conservatives either voted against or filibustered.,False
Those were provisions the Conservatives either voted against or filibustered.,False
"In fact, that's exactly what Alberta and Saskatchewan community newspapers asked for, and Conservatives voted against enlarging the mandate so that those little guys in communities right across Alberta and Saskatchewan could actually access funding from big tech.",False
The Conservatives voted against.,False
The Conservatives voted against.,False
The Bloc voted for Bill C-216 .,True
The Bloc voted for Bill C-216 .,True
Inexplicably the Conservatives voted against that measure to help kids.,False
"When our government lowered the taxes for the middle class twice, the Conservatives voted against it.",False
"I could talk about the cut to the middle class tax bracket, which the Conservative Party voted against.",False
"However, the Liberals voted against our motion.",False
"Even people who voted for the Liberals in the past have said they have had enough, as one of their backbench said, of this woke stuff.",True
"His Majesty's Loyal Opposition has been proposing, over the last several days, a series of propositions to make life more affordable for Canadians by reducing taxes and reducing, or not implementing, the tripling of the carbon tax, yet this member has voted against every single measure Conservatives have brought forward to improve the affordability and inflationary crises Canadians are facing.",False
The Conservative Party voted against that particular tax.,False
"The Conservatives might ultimately argue that it is tax and they do not like taxes, and that is why they voted against it, but it was a tax on Canada's wealthiest, asking for that fair share.",False
"Despite all of the pomp and ceremony of the Conservative leadership race, today's leader of the Conservative Party voted against that tax break for Canada's middle class.",False
"The Bloc Québécois then presented Bill C‑246 , which was along the same lines as the motion that my colleague supported, but she voted against it.",True
I would like my colleague to explain why she voted for the Bloc Québécois motion and then voted against the Bloc Québécois bill.,False
"On the affordability component for my hon. colleague for Victoria , I think about the Canada child benefit that we introduced in 2015, which all parties voted against, including the New Democratic Party.",False
"My colleague voted against the March 2 motion moved by the Bloc, which said more or less the same thing as our bill.",True
"In Saskatchewan, in the last election, 20% of voters voted for the New Democratic Party, but none of the members represent that particular viewpoint.",True
"The Bloc would have had seven fewer MPs, so those who voted for the Bloc are actually over-represented in the House.",False
"Far fewer people voted for the Bloc in Quebec, so the number of Bloc members is not representative.",False
"It was a reasonable proposal on the part of the opposition members, yet the Liberal government voted against it at the time because ranked ballots were not its preferred choice.",False
"They actually voted for an effective opposition, including the Conservative Party, which, by the way, is the official opposition: Her Majesty's loyal opposition.",False
"The House responded to the Conservatives saying they were not blocking legislation by introducing more debate with evening sessions, and they voted against that too.",False
"The House responded to the Conservatives saying they were not blocking legislation by introducing more debate with evening sessions, and they voted against that too.",False
"Madam Chair, the member's question gives me the chance to talk about Bill C-15 , UNDRIP, the United Nations Declaration on the Rights of Indigenous Peoples, which will turn the page on the colonial legacies within the Indian Act by giving indigenous people the ability to implement that which they fought for at the United Nations for 30 years, that which the Conservative Party voted against.",False
"On behalf of the millions of people who voted for us, we would expect that at least 20 Liberals would be in the House to listen.",True
Is there no role for the people who voted for the Bloc Québécois to bring up the issues that are important to them?,False
"On behalf of the millions of people who voted for us, we would expect that at least 20 Liberals would be in the House to listen.",True
"On March 2, I voted against the Bloc Québécois motion that would solidify Quebec's political weight in the House of Commons by redrawing the federal electoral map.",True
"However, in the last election, in Alberta, 65% of the people voted for the Conservative Party but 97% of the seats are Conservative.",False
"In Saskatchewan, only 64% voted for the Conservative Party and it has 100% of the seats.",False
"Still, it is surprising that the Liberals would put this kind of wording in their motion when they voted against our motion and chose to increase OAS by 10%, but only for people 75 and up, thereby creating two classes of seniors.",True
"Still, it is surprising that the Liberals would put this kind of wording in their motion when they voted against our motion and chose to increase OAS by 10%, but only for people 75 and up, thereby creating two classes of seniors.",True
The Liberals could have voted for our motion earlier today and could have put forward a plan.,True
"The member can check with any province, territory and indigenous community to see that rapid testing is absolutely critical, yet the Conservative Party voted against those funds going there.",True
"In fact, in the last Parliament, when our Conservative colleague Bob Saroya brought up Bill C-238 to increase penalties for the possession of smuggled firearms, you and your party voted against that policy.",False
"In fact, in the last Parliament, when our Conservative colleague Bob Saroya brought up Bill C-238 to increase penalties for the possession of smuggled firearms, you and your party voted against that policy.",False
A number of Liberals voted for Bill C-208 as well.,True
"Of course I refer to the NDP version of this, Bill C-274 , which was actually voted against by this government, and which we were told would not pass.",False
"The biggest joke of them all was an amendment that the target of net zero by 2050 did not mean net zero could not be achieved earlier, which zero people thought was the case, yet before we were called just as bitter as the Liberals, we voted for a couple of government amendments we thought were good.",True
"Madam Speaker, it is interesting to hear from members of the Green Party, who voted against the bill at second reading, who voted against it in principle and now cry foul that we should take their amendments at face value and wanting to be part of this process.",False
I would remind my colleague that the government proposed an amendment to the committee to incorporate Canada's target within the legal text of the bill and the Bloc voted against it; it tried to defeat the amendment.,False
The Conservative Party voted against that.,False
"As I listen to the member, I am trying to rationalize how he can stand here and say we absolutely must implement these recommendations and do as much as we can to see them come to fruition as soon as possible, yet the Conservative Party voted against one last week.",False
"On Monday, the Liberal members of the committee voted against our motion to protect Canadians' freedom on social media.",False
"I genuinely hope my Conservative colleagues who voted for this bill at second reading, who have shown they are willing to take leadership on this issue and who are concerned about specific wording will recognize that we went through the parliamentary process.",True
I note that the Conservative Party voted against that funding.,False
I note that the Conservative Party voted against that funding.,False
I would imagine the hon. member was here in the last session and would remember the high-fiving of certain Conservative members who voted against Romeo Saganash's bill.,False
"It is equally fair to say that, at every opportunity, the Conservatives voted against more funding for our security agencies and police forces, funding that was intended to better equip them so they could combat diversion and smuggling, which is how weapons get into Canada and end up being used in violent incidents.",True
"Again in 2018, the Conservatives stayed true to form and voted against these reinvestments in our police forces, including the RCMP.",True
"Again, the Conservatives voted against that.",True
"The Liberals had an opportunity with their vote on Bill C-213 to set up a framework modelled on the Canada Health Act, but cynically voted against that opportunity.",True
"I do not understand why the Bloc member for Thérèse-De Blainville voted against this amendment, agreeing with the committee chair’s opinion that the amendment was inadmissible because it required a royal recommendation.",False
"When the Liberals were in the opposition, they voted for 50 weeks.",False
"I hope that, together, we will be able to convince the 149 Liberal members who voted against the motion to support it this time around.",True
"Not long ago, six Conservative members voted against the bill at second reading in the House.",False
"Sadly, the Conservatives voted against Bill C-14 and the relief from federal interest on loans for students contained within that bill.",True
"When we consider the position of the Conservatives, who voted against Bill C-14 and Bill C-7 , we get the impression that the only solution for dying with dignity is palliative care.",True
"It is shameful the government voted against and defeated Bill C-238 , a Conservative bill that would have imposed tough sentences on smuggling guns.",True
"CFIB urges all parties to ensure this support is passed quickly”, and yet the Conservatives voted against it.",True
"Does the member have any thoughts on why the Conservatives would allow it to move as slowly as possible and then, when push came to shove yesterday, voted against it?",True
"The Liberals first made their pharmacare promise 24 years ago, but two days ago they cynically voted against Bill C-213 , which would have established a national pharmacare framework modelled on the Canada Health Act.",True
"If the Liberals were focused on protecting Canadians, they would not have voted against Bill C-238 , which would have imposed tougher sentences for criminals found to have smuggled firearms or to be in possession of illegal firearms.",False
"If the Liberals were focused on protecting Canadians, they would not have voted against Bill C-238 , which would have imposed tougher sentences for criminals found to have smuggled firearms or to be in possession of illegal firearms.",False
"However, the Conservatives voted against the former Bill C-14 .",True
The Conservatives also voted against the current Bill C-7 .,True
"It was my bill, Bill C-238 , which the Liberals shamefully voted against.",False
It was defeated at the time because most Liberal members of Parliament voted against the bill.,False
"Ten years ago, in 2011, a bill similar in every respect to Bill C-218 was introduced, and the Liberals were the only ones who voted against it.",False
"The Liberals voted against one of the root causes of gun violence in Canada, which is illegal firearms smuggled into this country from the United States.",True
"The Liberals voted against one of the root causes of gun violence in Canada, which is illegal firearms smuggled into this country from the United States.",True
"When I was preparing this speech, I was surprised to learn that the current Minister of Innovation, Science and Industry in this government voted against the Conservative motion moved in 2006 recognizing the Quebec nation and, by extension, the importance of French in Quebec.",False
"Worse still, 15 Liberal members voted against that motion.",False
"Fifteen Liberals voted against that motion, and several others were absent.",False
"During former prime minister Stephen Harper’s tenure, the Liberals voted against legislation to improve divorce and separation rights on reserves for indigenous women.",False
"She voted in favour of the gag order, but she voted against the Bloc Québécois motion calling on the government not to leave out seniors between the ages of 65 and 75.",False
"However, the Conservatives voted against our amendment.",False
I remind the leader of the New Democratic Party today that the NDP voted against that particular tax decrease.,False
"You may recall, Minister, that in the 42nd Parliament, former MP Guy Caron had Bill C-274 which proposed doing precisely that, yet most of the Liberal caucus voted against the bill and defeated it.",True
The Liberals voted against the very first NAFTA agreement.,False
I want to remind him it was the Liberal government of the day that voted against the original Canada-U.S.,False
"Madam Speaker, when the ways and means motion was introduced the Bloc members voted against the opportunity to introduce NAFTA, the USMCA or whatever we are calling it now.",True
"On top of that, if we reflect back on the history of free trade negotiations in Canada, the NDP has almost consistently voted against Canada's free trade agreements.",False
"In contrast, the official opposition New Democrats voted against Bill C-51.",True
"Unfortunately, the Liberals voted against it.",False
"It was the first thing we did, but the Conservatives voted against it.",False
The Conservative Party has voted against many of them.,False
The Conservatives actually voted against that.,False
"What I would like to know, and what those 338 young women want to know, is why the Conservatives voted against the funding to bring them here to Ottawa, why they voted against funding to support women entrepreneurs and why they voted against funding to ensure that Canadians across the country have opportunities to sit around decision-making tables through Bill C-25 .",False
It eventually failed because the Liberals voted against it.,True
"I note that it was something that the hon. colleague who just posed the question voted against, as did all of her Conservative colleagues.",True
"We could say the Conservatives voted against the middle-class tax cuts and they voted against the tax increase to Canada's wealthiest and so forth, but today, as I have heard from many Conservative members, they are talking very positively about trade.",False
"Unfortunately, a majority of Liberal MPs voted against this bill before it was even studied.",False
"Unfortunately, a majority of Liberal MPs voted against this bill before it was even studied.",False
"Bill C-223 was debated in the House in 2016, but was defeated when the Liberal caucus voted against it.",False
The Liberals voted against that motion.,False
The Liberals voted against that motion.,False
The current Liberal government voted against a bill in 2016 that would have supported the creation of a national registry to align with the United States to help identify those wishing to donate an organ and those who need them.,False
"Given the passion of that member today, I could not believe that he would have voted against the motion I referred to, so I had to look it up and confirm that it was only Conservatives who voted in favour of imposing a duty of care on the Canada Revenue Agency.",False
"It is too bad the Conservatives voted against that, and I think they need to be held to account for that.",False
The Conservatives voted against tax breaks for Canada's middle class.,False
The Conservatives voted against having a special tax on Canada's wealthiest.,False
"The member in one sense is correct when he says that there was a special tax put on Canada's 1% wealthiest, something which the Conservative Party voted against.",False
"When it came time to have a decrease for Canada's middle class, the Conservative Party voted against that tax break.",False
"The Liberals all voted against the bill I introduced, Bill C-343 , which would have made the position of federal ombudsman for victims of crime equal to that of the criminals' ombudsman.",True
"They voted against two motions this spring, calling for the Liberals to share their plan for getting Trans Mountain built.",True
"The Liberals voted against Bill C-203 on bilingualism for Supreme Court justices, so I introduced a bill to amend the Official Languages Act.",True
